Frequency,Radial velocity,Data
1419508880.054741,-203.08523650827806,-55.41228197840109
1419513767.6402738,-202.05365713137726,-51.17848892089
1419518655.2258065,-201.02207775452683,-52.6294700360115
1419523542.8113391,-199.9904983776764,-53.18010242679877
1419528430.396872,-198.9589190007756,-50.949518199016694
1419533317.9824047,-197.92733962392518,-54.11922699159487
1419538205.5679374,-196.8957602470747,-49.83451170471759
1419543093.1534703,-195.86418087017393,-52.239180049382114
1419547980.739003,-194.8326014933235,-52.060444572568244
1419552868.3245356,-193.80102211647304,-51.87371011061535
1419557755.9100685,-192.76944273957227,-52.578855763850065
1419562643.4956012,-191.7378633627218,-54.47460422422815
1419567531.0811338,-190.70628398587135,-55.49383628278101
1419572418.6666667,-189.6747046089706,-52.45923759834519
1419577306.2521994,-188.64312523212013,-54.631599586384326
1419582193.837732,-187.6115458552697,-58.39140181936799
1419587081.423265,-186.5799664783689,-52.593460181953304
1419591969.0087976,-185.54838710151847,-53.51835705819827
1419596856.5943303,-184.51680772466804,-53.62372726203684
1419601744.1798632,-183.48522834776725,-54.614763302289944
1419606631.7653959,-182.45364897091682,-54.54663012693521
1419611519.3509285,-181.42206959406633,-49.72528776623682
1419616406.9364614,-180.3904902171656,-53.392022552017835
1419621294.521994,-179.3589108403151,-52.594976573612115
1419626182.1075268,-178.32733146346467,-55.403868834753155
1419631069.6930597,-177.2957520865639,-52.25367244123069
1419635957.2785923,-176.26417270971345,-51.45189306966973
1419640844.864125,-175.232593332863,-56.969778041470256
1419645732.449658,-174.20101395596222,-54.242849548043
1419650620.0351906,-173.16943457911177,-52.93869487584325
1419655507.6207232,-172.13785520226133,-51.59670047664578
1419660395.2062562,-171.10627582536054,-52.76071221320913
1419665282.7917888,-170.0746964485101,-50.90009066714961
1419670170.3773217,-169.04311707160932,-51.648130073608456
1419675057.9628544,-168.01153769475889,-52.83084783096147
1419679945.548387,-166.97995831790846,-52.66604110462733
1419684833.13392,-165.94837894100766,-53.45855822993572
1419689720.7194526,-164.91679956415723,-55.69095056619706
1419694608.3049853,-163.88522018730674,-53.9591522490454
1419699495.8905182,-162.853640810406,-52.01179505606366
1419704383.4760509,-161.82206143355555,-58.615466608041125
1419709271.0615835,-160.7904820567051,-53.22450028171139
1419714158.6471164,-159.75890267980432,-52.085144271224124
1419719046.232649,-158.72732330295386,-53.488792870958555
1419723933.8181818,-157.69574392610343,-51.93983146582339
1419728821.4037147,-156.66416454920264,-54.96534278961775
1419733708.9892473,-155.6325851723522,-51.03397455943362
1419738596.57478,-154.60100579550175,-52.679424855027634
1419743484.160313,-153.56942641860098,-52.90373289308878
1419748371.7458456,-152.53784704175052,-53.813588565521684
1419753259.3313782,-151.50626766490007,-53.621749416943544
1419758146.9169111,-150.4746882879993,-51.737100245975746
1419763034.5024438,-149.44310891114884,-53.01623477275339
1419767922.0879765,-148.4115295342984,-52.09205081415065
1419772809.6735094,-147.37995015739764,-53.23281135986906
1419777697.259042,-146.34837078054719,-52.74776200082067
1419782584.8445747,-145.31679140369673,-55.325049790656834
1419787472.4301076,-144.28521202679596,-52.16433652466377
1419792360.0156403,-143.25363264994553,-55.61490979691605
1419797247.601173,-142.22205327309507,-49.31521967103305
1419802135.1867058,-141.19047389619428,-50.581423492867444
1419807022.7722385,-140.15889451934382,-50.611437116154406
1419811910.3577712,-139.1273151424934,-51.52934519841886
1419816797.943304,-138.0957357655926,-49.99986046562054
1419821685.5288367,-137.06415638874216,-49.933231494433585
